,popularity
404162,52
392267,17
269622,6
212827,4
221475,34
253760,40
492432,1
118377,7
116103,30
89061,26
476620,18
164508,21
81204,0
332332,33
422548,21
71946,54
65451,72
297074,57
559876,37
128731,47
203246,11
41439,31
36894,34
445762,22
402222,25
585995,22
38979,34
558970,47
126382,31
398643,40
19409,1
105533,29
406871,4
441568,37
271406,37
105268,14
266460,8
314984,24
17566,0
308253,35
258401,20
373174,49
345571,8
236286,43
320296,0
25937,6
391203,12
272928,29
5263,0
358303,73
59305,41
11082,0
58404,40
405665,38
359151,27
142074,26
99540,28
77184,58
371336,29
546166,1
18099,0
387503,31
395561,43
327037,6
360419,0
292556,45
253368,36
264600,28
512407,0
474631,43
267376,32
523921,36
433033,28
443854,50
98110,49
169050,10
376457,25
228413,45
249150,2
164802,10
545637,18
355320,21
426632,46
584959,57
487355,52
503232,23
76144,58
242958,15
30496,13
214749,20
19412,1
253500,39
508333,29
284385,51
416266,43
154939,27
109189,33
300591,33
299263,32
6497,0
226917,44
353734,12
289667,6
353854,25
203433,16
570985,15
537342,19
369230,28
581425,23
560425,43
436526,54
118938,35
565358,9
443021,45
145369,28
498518,35
327991,10
310420,34
82143,58
228390,21
350547,39
354985,2
223891,14
384472,13
38654,47
195531,15
244714,42
303845,5
121504,3
126400,33
494422,20
267304,26
303447,56
317448,24
518551,18
209075,50
189817,17
70201,49
177309,42
20184,0
284718,41
504083,28
456470,49
463422,52
435559,45
487647,51
449380,35
83492,64
520263,14
387390,39
205686,28
265706,1
159711,1
582477,45
76602,12
151220,7
94948,1
18838,1
521109,21
265127,52
561227,39
262205,13
385133,19
314464,9
430533,23
282508,24
342271,23
404525,53
543246,1
324201,17
542275,24
491505,35
300995,35
314927,3
363168,8
465313,32
329188,30
349754,39
211672,73
283025,20
235082,40
404668,50
182899,11
545318,16
129882,54
23807,8
274423,44
191705,32
225764,43
320337,0
65812,53
538220,23
134618,0
150156,41
393249,28
510805,31
76331,56
289500,5
361318,9
43639,55
19587,14
487351,52
42915,42
22344,1
41296,33
7085,0
444464,44
34050,24
453124,23
561663,45
380089,40
579029,21
443009,1
168235,11
242887,36
129013,48
445269,21
110233,53
214842,36
359604,26
153703,42
167127,10
190187,27
228832,18
160548,32
68249,48
507033,13
403376,38
468779,1
12062,4
66580,61
483452,10
264077,23
492087,37
586019,18
357098,17
476184,4
107225,36
222994,37
84357,6
6637,0
543511,1
248821,26
423789,31
357575,62
76175,0
200421,57
