,acousticness,loudness,energy,explicit
531279,0.651,-10.835,0.607,0
408507,0.21,-5.38,0.69,0
377562,7.67e-05,-7.405,0.834,0
114110,0.87,-7.326,0.421,0
390645,0.992,-21.555,0.0368,0
238553,0.649,-6.152,0.666,0
177331,0.0258,-4.127,0.877,0
64839,0.00619,-6.018,0.856,0
393251,0.554,-15.1,0.643,0
124805,0.983,-10.021,0.362,0
583322,0.0356,-5.774,0.902,0
290386,0.672,-10.777,0.449,0
138955,0.821,-17.374,0.184,0
237316,0.521,-6.101,0.82,0
356784,0.211,-3.058,0.766,0
270776,0.694,-10.863,0.579,0
310987,0.00938,-5.131,0.772,0
566362,0.073,-6.32,0.978,0
351224,0.336,-4.151,0.862,0
145077,0.246,-12.682,0.562,0
46605,0.261,-9.112,0.769,0
119954,0.269,-7.387,0.527,0
569619,0.194,-5.728,0.752,0
496481,0.559,-13.5,0.487,0
123881,0.139,-15.604,0.309,0
515482,0.982,-7.343,0.499,0
228732,0.788,-5.449,0.589,0
60226,0.213,-3.92,0.913,0
486720,0.483,-10.71,0.49,0
43225,0.852,-11.301,0.482,0
357824,0.0403,-6.273,0.665,0
532827,0.968,-10.833,0.37,0
161501,0.75,-6.961,0.447,0
433776,0.702,-5.879,0.707,0
298632,0.549,-12.688,0.396,0
581097,0.0256,-5.928,0.923,0
269297,0.179,-11.579,0.534,0
110920,0.0037,-6.326,0.808,0
21361,0.926,-23.654,0.0897,0
118949,0.871,-11.656,0.526,0
87697,0.11,-3.888,0.901,0
116186,0.991,-12.925,0.301,0
302917,0.0286,-9.996,0.616,0
422737,0.0273,-6.735,0.775,0
95480,0.507,-6.954,0.787,0
262024,0.655,-15.564,0.264,0
422925,0.0885,-6.1,0.918,0
489084,0.709,-10.591,0.362,0
541803,0.989,-30.428,0.0203,0
269321,0.741,-10.592,0.387,0
172701,0.00719,-5.506,0.828,0
426840,0.649,-4.533,0.599,0
162919,0.698,-9.233,0.407,0
554505,0.246,-6.752,0.706,0
468698,0.106,-5.352,0.817,0
577509,0.568,-7.838,0.657,0
257110,0.211,-7.649,0.805,0
38192,0.811,-11.789,0.25,0
280321,0.963,-18.429,0.137,0
586453,0.912,-12.569,0.202,0
138112,0.667,-15.777,0.245,0
73886,0.108,-7.525,0.657,0
353595,0.754,-16.051,0.308,0
565997,0.856,-24.736,0.0366,0
56182,0.00438,-7.657,0.799,0
501063,0.233,-6.976,0.823,0
195958,0.61,-11.755,0.555,0
184123,0.655,-8.142,0.568,0
218004,0.0278,-6.43,0.67,0
248883,0.657,-12.881,0.435,0
166846,0.0017,-4.269,0.934,0
28654,0.952,-16.277,0.113,0
144196,0.127,-13.209,0.69,0
583847,9.43e-05,-5.756,0.966,0
485532,0.572,-15.023,0.39,0
357150,0.00235,-4.439,0.907,0
450526,0.847,-7.508,0.563,0
568522,0.558,-4.765,0.796,0
388827,0.0989,-4.899,0.753,1
398068,0.42,-5.857,0.712,0
530549,0.0589,-6.628,0.866,0
153174,0.273,-7.794,0.618,0
82913,1.05e-05,-4.143,0.758,0
567028,0.357,-6.662,0.786,0
101939,0.355,-10.494,0.492,0
245393,0.00359,-5.953,0.729,0
168807,0.00147,-5.687,0.879,0
145322,0.768,-18.509,0.414,0
423446,0.0396,-11.072,0.775,0
447124,0.706,-16.477,0.256,0
257540,0.858,-18.14,0.118,0
236695,0.0218,-2.679,0.988,0
569136,0.263,-8.166,0.617,1
224349,0.444,-11.831,0.583,0
44334,0.289,-5.232,0.651,0
337196,0.334,-4.486,0.664,0
77128,0.211,-13.723,0.646,0
531261,0.422,-7.714,0.615,0
62526,0.654,-13.076,0.383,0
471228,0.977,-15.485,0.302,0
342133,0.263,-7.36,0.498,0
337438,0.771,-5.867,0.565,0
337988,0.854,-8.871,0.514,0
416455,0.16,-8.426,0.492,0
219216,0.943,-15.01,0.326,0
384621,0.00328,-6.964,0.786,0
338268,0.76,-15.562,0.295,0
206622,0.00112,-4.811,0.958,0
135535,0.983,-3.656,0.371,0
475693,0.151,-5.703,0.87,0
476038,0.809,-11.216,0.494,0
205349,0.288,-11.255,0.686,0
87986,0.00102,-5.541,0.986,0
586105,0.44,-14.86,0.243,0
114658,0.0648,-3.914,0.956,0
271578,0.687,-8.291,0.508,0
573645,0.342,-6.626,0.531,0
305667,0.841,-11.468,0.277,0
283823,0.228,-10.614,0.539,0
149191,0.0998,-11.88,0.507,0
383445,0.00742,-7.795,0.938,0
205993,0.291,-11.251,0.592,0
118454,0.287,-7.111,0.559,0
540830,0.845,-5.962,0.912,0
356718,0.208,-5.858,0.819,0
281363,0.713,-10.734,0.347,0
394964,0.607,-13.678,0.294,0
409069,0.255,-15.02,0.218,0
327588,0.98,-11.349,0.194,0
389418,0.857,-15.563,0.291,1
556248,0.00753,0.394,0.996,0
6551,0.878,-16.707,0.481,0
495525,0.798,-17.815,0.253,0
6375,0.987,-11.117,0.236,0
302962,0.0649,-5.079,0.625,1
486086,0.201,-7.774,0.574,0
255946,0.975,-22.19,0.385,0
249777,0.013,-16.613,0.518,0
125620,0.447,-11.279,0.378,0
513009,0.971,-12.745,0.215,0
317574,0.963,-31.882,0.0348,0
63070,0.43,-12.064,0.34,0
